# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
🥄	spoon	eat | spoon | tableware	숟가락	먹기 | 수저 | 숟가락 | 스푼 | 식기 | 주방용품 | 테이블웨어
🔪	kitchen knife	chef | cooking | hocho | kitchen | knife | tool | weapon	식칼	도구 | 무기 | 부엌 칼 | 쉐프 | 식칼 | 요리 | 요리용 칼 | 호쵸
🫙	jar	condiment | container | empty | jar | nothing | sauce | store	작은 병	병 | 보관 | 비어 있는 | 빈 | 소스 | 아무것도 없는 | 양념 | 용기 | 작은 병 | 저장
🏺	amphora	Aquarius | amphora | cooking | drink | jug | tool | weapon | zodiac	암포라	단지 | 도구 | 무기 | 물병자리 | 별자리 | 암포라 | 요리
🌍	globe showing Europe-Africa	Africa | Europe | Europe-Africa | earth | globe | showing | world	유럽과 아프리카가 보이는 지구	글로벌 | 세계 | 아프리카 | 유럽 | 유럽과 아프리카가 보이는 지구 | 지구 | 지구본
🌎	globe showing Americas	Americas | earth | globe | showing | world	미대륙이 보이는 지구	글로벌 | 미국이 보이는 지구 | 미대륙 | 미대륙이 보이는 지구 | 미주 | 세계 | 아메리카 | 지구 | 지구본
🌏	globe showing Asia-Australia	Asia | Asia-Australia | Australia | earth | globe | showing | world	아시아와 호주가 보이는 지구	글로벌 | 세계 | 아시아 | 아시아와 호주가 보이는 지구 | 월드 | 지구 | 지구본 | 호주
🌐	globe with meridians	earth | globe | internet | meridians | web | world | worldwide	자오선 지구	경도 | 세계 | 월드와이드 | 웹 | 위도 | 인터넷 | 자오선 | 지구
🗺	world map	map | world	세계 지도	세계 | 지도
🗾	map of Japan	Japan | map	일본 지도	일본 | 지도
🧭	compass	compass | direction | magnetic | navigation | orienteering	나침반	길찾기 | 나침반 | 네비게이션 | 오리엔티어링 | 자석
🏔	snow-capped mountain	cold | mountain | snow | snow-capped	눈 덮인 산	눈 | 눈 덮인 산 | 산 | 설산 | 추위
⛰	mountain	mountain	산	산 | 산 정상
🛘	landslide	avalanche | danger | disaster | earthquake | mountain | mudslide | rocks	산사태	돌 | 사태 | 산 | 위험 | 재난 | 지진
🌋	volcano	eruption | mountain | nature | volcano	화산	볼케이노 | 산 | 자연 | 폭발 | 화산
🗻	mount fuji	fuji | mount | mountain | nature	후지산	산 | 자연 | 후지 | 후지산
🏕	camping	camping	캠핑	캠핑 | 텐트
🏖	beach with umbrella	beach | umbrella	파라솔이 있는 해변	우산 | 파라솔 | 파라솔이 있는 해변 | 해변
🏜	desert	desert	사막	사막 | 선인장 | 태양
🏝	desert island	desert | island	사막 섬	사막 | 섬
🏞	national park	national | park	국립공원	공원 | 국립 | 국립공원
🏟	stadium	stadium	경기장	경기장 | 스타디움
🏛	classical building	building | classical	고전 양식의 건축물	건물 | 고전 | 고전 빌딩 | 고전 양식의 건축물
🏗	building construction	building | construction | crane	건물 공사	건물 | 공사 | 크래인
🧱	brick	brick | bricks | clay | mortar | wall	벽돌	담벼락 | 모르타르 | 벽 | 벽돌 | 빨간 벽돌 | 클레이
🪨	rock	boulder | heavy | rock | solid | stone | tough	바위	단단한 | 돌 | 무거운 | 바위 | 스톤 | 암석
🪵	wood	log | lumber | timber | wood	목재	나무 | 목재 | 수목 | 재목 | 통나무
🛖	hut	home | house | hut | roundhouse | shelter | yurt	오두막	오두막 | 원실 | 유르트 | 집 | 피난처 | 홈 | 훗
🏘	houses	house | houses	주택 건물	건물 | 주택 | 집
🏚	derelict house	derelict | home | house	낡은 주택 건물	건물 | 낡은 주택 건물 | 노후 | 주택 | 주택 수리 | 집
🏠	house	building | country | heart | home | house | ranch | settle | simple | suburban | suburbia | where	집	건물 | 교외 | 마음이 머무는 곳 | 빌딩 | 시골집 | 정착 | 주택 | 주택 수리 | 집
🏡	house with garden	building | country | garden | heart | home | house | ranch | settle | simple | suburban | suburbia | where	정원이 있는 집	교외 | 마음이 머무는 곳 | 시골집 | 정원 | 정원이 있는 주택 | 정원이 있는 집 | 정착 | 주택 | 주택 수리
🏢	office building	building | city | cubical | job | office	빌딩	건물 | 빌딩 | 사무실 | 오피스 | 육면체 | 일 | 회사 건물
🏣	Japanese post office	Japanese | building | office | post	일본 우체국	건물 | 우체국 | 일본
🏤	post office	European | building | office | post	우체국	건물 | 빌딩 | 우체국 | 유럽
🏥	hospital	building | doctor | hospital | medicine	병원	건물 | 메디컬 | 병원 | 빌딩 | 의사 | 의학
🏦	bank	bank | building	은행	건물 | 뱅크 | 빌딩 | 은행
🏨	hotel	building | hotel	호텔	건물 | 빌딩 | 숙박 | 잠 | 호텔
🏩	love hotel	building | hotel | love	모텔	건물 | 러브 호텔 | 모텔 | 빌딩 | 호텔
🏪	convenience store	24 | building | convenience | hours | store	편의점	24시 | 가게 | 건물 | 빌딩 | 편의점
🏫	school	building | school	학교	건물 | 공부 | 빌딩 | 스쿨 | 학교
🏬	department store	building | department | store	백화점	가게 | 건물 | 백화점 | 빌딩 | 상점
🏭	factory	building | factory	공장	건물 | 공장 | 빌딩
🏯	Japanese castle	Japanese | building | castle	일본 성	건물 | 궁전 | 빌딩 | 성 | 일본
🏰	castle	European | building | castle	유럽 성	건물 | 궁전 | 빌딩 | 성 | 유럽
💒	wedding	chapel | hitched | nuptials | romance | wedding	결혼식	결혼 | 결혼식 | 결혼한 | 교회 결혼식 | 로맨스 | 성당 결혼식 | 예배당 | 혼례식
🗼	Tokyo tower	Tokyo | tower	도쿄 타워	도쿄 | 타워 | 탑
🗽	Statue of Liberty	Liberty | Statue | liberty | new | ny | nyc | statue | york	자유의 여신상	뉴욕 | 동상 | 여신상 | 자유 | 자유의 여신상
⛪	church	Christian | bless | chapel | church | cross | religion	교회	건물 | 교회 | 기독교 | 빌딩 | 십자가 | 예배당 | 종교 | 축복 | 크리스찬
🕌	mosque	Muslim | islam | masjid | mosque | religion	모스크	모스크 | 무슬림 | 사원 | 이슬람 | 종교
🛕	hindu temple	hindu | temple	힌두교 사원	사원 | 힌두교
🕍	synagogue	Jew | Jewish | judaism | religion | synagogue | temple	시나고그	사원 | 시나고그 | 유대교 | 유대인 | 종교
⛩	shinto shrine	religion | shinto | shrine	신토 신사	신사 | 신토 | 일본 신사 | 종교
🕋	kaaba	Muslim | hajj | islam | kaaba | religion | umrah	카바	무슬림 | 움라 | 이슬람 | 종교 | 카바 | 하즈
⛲	fountain	fountain	분수	분수 | 분수대
⛺	tent	camping | tent	텐트	캠프 | 캠핑 | 텐트
🌁	foggy	fog | foggy	자욱한 안개	날씨 | 스모그 | 안개 | 안개 낀 | 자욱한 안개
🌃	night with stars	night | star | stars	밤하늘 별	밤 | 밤하늘 별 | 별 | 야경
🏙	cityscape	city | cityscape	도시 전경	건물 | 도시 | 도시 전경
🌄	sunrise over mountains	morning | mountains | over | sun | sunrise	산에서 떠오르는 해	산 | 산에 해가 뜸 | 산에서 떠오르는 해 | 아침 | 일출 | 해 | 해가 뜸
🌅	sunrise	morning | nature | sun | sunrise	일출	아침 | 일출 | 자연 | 해 | 해가 뜸
🌆	cityscape at dusk	at | building | city | cityscape | dusk | evening | landscape | sun | sunset	도시 야경	건물 | 노을 | 도시 | 빌딩 | 선셋 | 야경 | 일몰 | 저녁 | 해 | 해질녘
🌇	sunset	building | dusk | sun | sunset	일몰	건물 | 노을 | 도시에 해가 짐 | 빌딩 | 일몰 | 해 | 해가 짐 | 해질녘 | 황혼
🌉	bridge at night	at | bridge | night	밤하늘을 배경으로 하는 다리	다리 | 달과 다리 | 밤 | 밤의 다리 | 밤하늘을 배경으로 하는 다리 | 별과 다리
♨	hot springs	hot | hotsprings | springs | steaming	온천	뜨거움 | 목욕탕 | 사우나 | 온천
🎠	carousel horse	carousel | entertainment | horse	회전 목마	놀이공원 | 목마 | 엔터테인먼트 | 유원지 | 회전 목마
🛝	playground slide	amusement | park | play | playground | playing | slide | sliding | theme	미끄럼틀	놀기 | 놀이 | 놀이공원 | 놀이터 | 미끄러지다 | 미끄럼틀 | 슬라이드 | 슬라이딩
🎡	ferris wheel	amusement | ferris | park | theme | wheel	관람차	관람차 | 놀이공원 | 대관람차 | 유원지
🎢	roller coaster	amusement | coaster | park | roller | theme	롤러코스터	놀이공원 | 롤러 | 롤러코스터 | 유원지 | 코스터
💈	barber pole	barber | cut | fresh | haircut | pole | shave	이발소	면도 | 이발 | 이발사 | 이발소 | 이발소 기둥 | 이발소 표시
🎪	circus tent	circus | tent	서커스	서커스 | 텐트
🚂	locomotive	caboose | engine | locomotive | railway | steam | train | trains | travel	기관차	교통수단 | 기관차 | 기차 | 엔진 | 여행 | 증기 | 카부스 | 트레인
🚃	railway car	car | electric | railway | train | tram | travel | trolleybus	전철	교통수단 | 기차 | 레일 | 여행 | 전기 | 전철 | 차 | 철도 | 철도 차량 | 트램 | 트롤리버스
🚄	high-speed train	high-speed | railway | shinkansen | speed | train	고속열차	KTX | 고속 | 고속열차 | 신칸센 | 암트랙 | 철도 | 케이티엑스
🚅	bullet train	bullet | high-speed | nose | railway | shinkansen | speed | train | travel	고속철	KTX | 고속 | 고속철 | 기차 | 신칸센 | 암트랙 | 앞에 뾰족하게 생긴 고속 철도 | 여행 | 철도 | 케이티엑스
🚆	train	arrived | choo | railway | train	기차	기차 | 도착 | 철도 | 칙칙폭폭
🚇	metro	metro | subway | travel	지하철	메트로 | 여행 | 전철 | 지하철
🚈	light rail	arrived | light | monorail | rail | railway	경전철	경전철 | 교통수단 | 기차 | 도착 | 모노레일 | 바트
🚉	station	railway | station | train	기차역	기차 | 기차역 | 바트 | 역 | 전철역 | 지하철역 | 철도
🚊	tram	tram | trolleybus	트램	바트 | 전차 | 트램 | 트롤리버스
🚝	monorail	monorail | vehicle	모노레일	교통수단 | 기차 | 모노레일
🚞	mountain railway	car | mountain | railway | trip	기차 터널	기차 | 산 | 산악 철도 | 산터널 | 차 | 터널
🚋	tram car	bus | car | tram | trolley | trolleybus	트램 차량	버스 | 전차 차량 | 차 | 트램 차량 | 트롤리 | 트롤리버스
🚌	bus	bus | school | vehicle	버스	교통수단 | 버스 | 차 | 학교
🚍	oncoming bus	bus | cars | oncoming	오고 있는 버스	다가오는 | 버스 | 오고 있는 버스 | 차
🚎	trolleybus	bus | tram | trolley | trolleybus	트롤리 버스	버스 | 트램 | 트롤리
🚐	minibus	bus | drive | minibus | van | vehicle	미니버스	교통수단 | 미니버스 | 밴 | 버스 | 소형 버스 | 운전
🚑	ambulance	ambulance | emergency | vehicle	구급차	교통수단 | 구급차 | 앰뷸런스
🚒	fire engine	engine | fire | truck	소방차	소방차 | 엔진 | 트럭 | 화재
🚓	police car	5–0 | car | cops | patrol | police	경찰차	5–0 | 경찰 | 경찰차 | 차
🚔	oncoming police car	car | oncoming | police	오고 있는 경찰차	경찰 | 경찰차 | 다가오는 경찰차 | 오고 있는 경찰차 | 차
🚕	taxi	cab | cabbie | car | drive | taxi | vehicle | yellow	택시	교통수단 | 노란 택시 | 운전 | 자동차 | 차 | 택시
🚖	oncoming taxi	cab | cabbie | cars | drove | hail | oncoming | taxi | yellow	오고 있는 택시	노란 택시 | 다가오는 택시 | 오고 있는 택시 | 우버 | 운전 | 차 | 택시 | 택시 부르기
🚗	automobile	automobile | car | driving | vehicle	자동차	교통수단 | 승용차 | 운전 | 자동차 | 차량
🚘	oncoming automobile	automobile | car | cars | drove | oncoming | vehicle	오고 있는 자동차	교통수단 | 다가오는 | 오고 있는 승용차 | 오고 있는 자동차 | 운전 | 자동차 | 차
🚙	sport utility vehicle	car | drive | recreational | sport | sportutility | utility | vehicle	지프	SUV | 교통수단 | 레크리에이션 | 운전 | 지프 | 지프차 | 차
🛻	pickup truck	automobile | car | flatbed | pick-up | pickup | transportation | truck	픽업트럭	운송수단 | 자동차 | 차 | 트럭 | 플랫베드 | 픽업 | 픽업트럭 | 화물차
🚚	delivery truck	car | delivery | drive | truck | vehicle	운송 트럭	교통수단 | 배달 | 배송 | 운송 | 운송 차량 | 운전 | 차 | 트럭
🚛	articulated lorry	articulated | car | drive | lorry | move | semi | truck | vehicle	트레일러 트럭	교통수단 | 세미 | 운전 | 이동 | 트럭 | 트레일러
🚜	tractor	tractor | vehicle	트랙터	교통수단 | 차량 | 트랙터
🏎	racing car	car | racing | zoom	경주용 자동차	경주용 자동차 | 레이싱 | 레이싱카 | 쌩 | 차
🏍	motorcycle	motorcycle | racing	오토바이	경주 | 레이싱 | 모터사이클 | 오토바이
🛵	motor scooter	motor | scooter	스쿠터	모터 | 스쿠터 | 오토바이 | 전동
🦽	manual wheelchair	accessibility | manual | wheelchair	수동 휠체어	수동 휠체어 | 접근성
🦼	motorized wheelchair	accessibility | motorized | wheelchair	전동 휠체어	전동 휠체어 | 접근성
🛺	auto rickshaw	auto | rickshaw | tuk	경삼륜차	경삼륜차 | 툭툭
🚲	bicycle	bicycle | bike | class | cycle | cycling | cyclist | gang | ride | spin | spinning	자전거	교통수단 | 라이드 | 바이크 | 바이크 갱 | 사이클링 | 스피닝 | 스핀 클래스 | 자전거
🛴	kick scooter	kick | scooter	킥보드	스쿠터 | 씽씽카 | 킥 | 킥보드
🛹	skateboard	board | skate | skateboard | skater | wheels	스케이트보드	바퀴 | 보드 | 스케이트 | 스케이트 타는 사람 | 스케이트보드
🛼	roller skate	blades | roller | skate | skates | sport	롤러스케이트	날 | 롤러 | 롤러스케이트 | 블레이드 | 스케이트 | 스포츠 | 운동
🚏	bus stop	bus | busstop | stop	버스 정류장	버스 | 정류장
🛣	motorway	highway | motorway | road	고속도로	고속도로 | 도로
🛤	railway track	railway | track | train	철도 선로	선로 | 철도
🛢	oil drum	drum | oil	기름통	기름 | 기름통 | 드럼
⛽	fuel pump	diesel | fuel | fuelpump | gas | gasoline | pump | station	주유소	가스 | 경유 | 연료 | 주유소 | 펌프 | 휘발유
🛞	wheel	car | circle | tire | turn | vehicle | wheel	휠	바퀴 | 원 | 자동차 | 차 | 카 | 타이어 | 탈 것 | 회전 | 휠
🚨	police car light	alarm | alert | beacon | car | emergency | light | police | revolving | siren	사이렌	경고 | 경보 | 경찰 | 경찰차 사이렌 | 비상 | 삐용삐용 | 사이렌 | 알람 | 차
🚥	horizontal traffic light	horizontal | intersection | light | signal | stop | stoplight | traffic	가로 신호등	가로 | 교차로 | 교통 | 수평 | 신호 | 신호등 | 정지 신호
🚦	vertical traffic light	drove | intersection | light | signal | stop | stoplight | traffic | vertical	세로 신호등	교차로 | 교통 | 빛 | 세로 | 수직 | 신호등 | 운전 | 정지 신호 | 표시
🛑	stop sign	octagonal | sign | stop	멈춤 표시	교통신호 | 멈춤 | 멈춤 표시 | 신호 | 팔각형
🚧	construction	barrier | construction	공사 중	공사 | 공사 중 | 공사 중 표시 | 분리대
⚓	anchor	anchor | ship | tool	닻	닻 | 도구 | 배 | 앵커 | 항해
🛟	ring buoy	buoy | float | life | lifesaver | preserver | rescue | ring | safety | save | saver | swim	구명부환	구명 기구 | 구명 튜브 | 구명부환 | 구조 | 구조원 | 구하다 | 부낭 | 수영 | 안전
⛵	sailboat	boat | resort | sailboat | sailing | sea | yacht	돛단배	돛단배 | 배 | 범선 | 세일링 | 요트
🛶	canoe	boat | canoe	카누	배 | 보트 | 카누
🚤	speedboat	billionaire | boat | lake | luxury | millionaire | speedboat | summer | travel	쾌속정	럭셔리 | 보트 | 선박 | 억만장자 | 여름 | 여행 | 쾌속정 | 호수
🛳	passenger ship	passenger | ship	여객선	배 | 선박 | 승객 | 여객선
⛴	ferry	boat | ferry | passenger	페리	보트 | 승객 | 연락선 | 페리
🛥	motor boat	boat | motor | motorboat	모터보트	모터보트 | 보트
🚢	ship	boat | passenger | ship | travel	선박	바다 | 배 | 선박 | 승객 | 여행 | 타이타닉
✈	airplane	aeroplane | airplane | fly | flying | jet | plane | travel	비행기	비행 | 비행기 | 여행 | 제트 | 항공
🛩	small airplane	aeroplane | airplane | plane | small	경비행기	경비행기 | 비행기 | 소형비행기 | 항공기
🛫	airplane departure	aeroplane | airplane | check-in | departure | departures | plane	비행기 이륙	비행기 | 이륙 | 체크인 | 출발
🛬	airplane arrival	aeroplane | airplane | arrival | arrivals | arriving | landing | plane	비행기 착륙	도착 | 도착하는 중 | 랜딩 중 | 비행기 | 비행기 착륙 | 항공기
🪂	parachute	hang-glide | parachute | parasail | skydive	낙하산	낙하산 | 스카이다이빙 | 패러세일링 | 행글라이더
💺	seat	chair | seat	좌석	의자 | 자리 | 좌석
🚁	helicopter	copter | helicopter | roflcopter | travel | vehicle	헬리콥터	교통수단 | 로플콥터 | 여행 | 콥터 | 헬기 | 헬리콥터
🚟	suspension railway	railway | suspension	매달린 케이블카	매달린 케이블카 | 자기부상 | 자기부상 열차 | 철도 | 케이블카
🚠	mountain cableway	cable | cableway | gondola | lift | mountain | ski	산악 케이블카	곤돌라 | 교통수단 | 산 | 산악 케이블카 | 스키 리프트 | 케이블 | 케이블카
🚡	aerial tramway	aerial | cable | car | gondola | ropeway | tramway	케이블카	곤돌라 | 공중 | 산악 케이블카 | 차 | 케이블카
🛰	satellite	satellite | space	인공위성	우주 | 인공위성
🚀	rocket	launch | rocket | rockets | space | travel	로켓	로케트 | 로켓 | 발사 | 여행 | 우주
🛸	flying saucer	UFO | aliens | extra | flying | saucer | terrestrial	비행접시	UFO | 비행접시 | 외계인 | 우주 생명체
🛎	bellhop bell	bell | bellhop | hotel	호출 벨	데스크벨 | 벨 | 호출 벨 | 호텔
🧳	luggage	bag | luggage | packing | roller | suitcase | travel	여행용 가방	여행 | 여행용 가방 | 짐 | 짐싸기
⌛	hourglass done	done | hourglass | sand | time | timer	시간이 다 된 모래시계	모래 | 모래시계 | 시간 | 시간이 다 된 모래시계 | 타이머
⏳	hourglass not done	done | flowing | hourglass | hours | not | sand | timer | waiting | yolo	시간이 남은 모래시계	기다림 | 모래 | 모래가 떨어지는 모래시계 | 모래시계 | 시간 | 시간이 남은 모래시계 | 욜로 | 타이머
⌚	watch	clock | time | watch	시계	손목 시계 | 시간 | 시계
⏰	alarm clock	alarm | clock | hours | hrs | late | time | waiting	알람 시계	늦은 | 대기 | 시간 | 시계 | 알람
⏱	stopwatch	clock | stopwatch | time	스톱워치	스톱워치 | 시간 | 시계
⏲	timer clock	clock | timer	타이머 시계	시계 | 타이머
🕰	mantelpiece clock	clock | mantelpiece | time	벽난로 선반 시계	벽난로 | 벽난로 선반 시계 | 시간 | 시계
🕛	twelve o’clock	12 | 12:00 | clock | o’clock | time | twelve	열두 시	12 | 12:00 | 12시 | 시계 | 열두 시 | 정각
🕧	twelve-thirty	12 | 12:30 | 30 | clock | thirty | time | twelve | twelve-thirty	열두 시 반	12:30 | 12시 30분 | 30분 | 시간 | 시계 | 열두 시 | 열두 시 반
🕐	one o’clock	1 | 1:00 | clock | one | o’clock | time	한 시	00분 | 1 | 1:00 | 1시 | 시간 | 시계 | 정각 | 한 시
🕜	one-thirty	1 | 1:30 | 30 | clock | one | one-thirty | thirty | time	한 시 반	1 | 1:30 | 1시 30분 | 30 | 삼십 | 시간 | 시계 | 한 시 반 | 한시 | 한시 반
🕑	two o’clock	2 | 2:00 | clock | o’clock | time | two	두 시	00분 | 2 | 2:00 | 2시 | 두 시 | 시간 | 시계 | 정각
🕝	two-thirty	2 | 2:30 | 30 | clock | thirty | time | two | two-thirty	두 시 반	2:30 | 2시 | 30분 | 두 시 반 | 시간 | 시계
🕒	three o’clock	3 | 3:00 | clock | o’clock | three | time	세 시	00분 | 3 | 3:00 | 3시 | 세 시 | 시간 | 시계 | 정각
🕞	three-thirty	3 | 30 | 3:30 | clock | thirty | three | three-thirty | time	세 시 반	30분 | 3:30 | 3시 | 세 시 반 | 세시 | 세시 반 | 시간 | 시계
🕓	four o’clock	4 | 4:00 | clock | four | o’clock | time	네 시	00분 | 4 | 4:00 | 4시 | 네 시 | 시간 | 시계 | 정각
🕟	four-thirty	30 | 4 | 4:30 | clock | four | four-thirty | thirty | time	네 시 반	30 | 30분 | 4 | 4:30 | 4시 | 네 시 반 | 네시 반 | 시간 | 시계
🕔	five o’clock	5 | 5:00 | clock | five | o’clock | time	다섯 시	00분 | 5 | 5:00 | 5시 | 다섯 시 | 시간 | 시계 | 정각
🕠	five-thirty	30 | 5 | 5:30 | clock | five | five-thirty | thirty | time	다섯 시 반	30분 | 5:30 | 5시 30분 | 다섯 시 반 | 시간 | 시계
🕕	six o’clock	6 | 6:00 | clock | o’clock | six | time	여섯 시	00분 | 6 | 6:00 | 6시 | 시간 | 시계 | 여섯 시 | 정각
🕡	six-thirty	30 | 6 | 6:30 | clock | six | six-thirty | thirty	여섯 시 반	30분 | 6:30 | 6시 30분 | 시간 | 시계 | 여섯 시 반
🕖	seven o’clock	0 | 7 | 7:00 | clock | o’clock | seven	일곱 시	00분 | 7 | 7:00 | 7시 | 시계 | 일곱 시 | 정각
🕢	seven-thirty	30 | 7 | 7:30 | clock | seven | seven-thirty | thirty	일곱 시 반	7:30 | 7시 | 7시 30분 | 시간 | 시계 | 일곱 시 반
🕗	eight o’clock	8 | 8:00 | clock | eight | o’clock | time	여덟 시	00분 | 8 | 8:00 | 8시 | 시간 | 시계 | 여덟 시 | 정각
🕣	eight-thirty	30 | 8 | 8:30 | clock | eight | eight-thirty | thirty | time	여덟 시 반	30분 | 8:30 | 8시 30분 | 시간 | 시계 | 여덟 시 반
🕘	nine o’clock	9 | 9:00 | clock | nine | o’clock | time	아홉 시	9 | 9:00 | 9시 | 시간 | 시계 | 아홉 시 | 정각
🕤	nine-thirty	30 | 9 | 9:30 | clock | nine | nine-thirty | thirty | time	아홉 시 반	30분 | 9:30 | 9시 30분 | 시간 | 시계 | 아홉 시 반
🕙	ten o’clock	0 | 10 | 10:00 | clock | o’clock | ten	열 시	00분 | 10 | 10:00 | 10시 | 시계 | 열 시 | 열시 정각 | 정각
🕥	ten-thirty	10 | 10:30 | 30 | clock | ten | ten-thirty | thirty | time	열 시 반	10:30 | 10시 | 30분 | 시간 | 시계 | 열 시 반
🕚	eleven o’clock	11 | 11:00 | clock | eleven | o’clock | time	열한 시	00분 | 11 | 11:00 | 11시 | 시간 | 시계 | 열한 시 | 정각
🕦	eleven-thirty	11 | 11:30 | 30 | clock | eleven | eleven-thirty | thirty | time	열한 시 반	11:30 | 11시 | 30분 | 시간 | 시계 | 열한 시 반
🌑	new moon	dark | moon | new | space	삭	그믐 | 그믐달 | 뉴문 | 달 | 삭 | 우주 | 초승달
🌒	waxing crescent moon	crescent | dreams | moon | space | waxing	초승달 상현	꿈 | 달 | 상현 | 상현달 | 우주 | 초승달 상현
🌓	first quarter moon	first | moon | quarter | space	오른쪽 반달	달 | 반달 | 상현 반달 | 오른쪽 반달 | 우주
🌔	waxing gibbous moon	gibbous | moon | space | waxing	상현달	달 | 상현달 | 우주 | 철월
🌕	full moon	full | moon | space	보름달	달 | 만월 | 보름달 | 우주
🌖	waning gibbous moon	gibbous | moon | space | waning	하현달	달 | 우주 | 점점 기울어가는 | 하현달
🌗	last quarter moon	last | moon | quarter | space	왼쪽 반달	달 | 반달 | 왼쪽 반달 | 우주 | 하현 반달
🌘	waning crescent moon	crescent | moon | space | waning	그믐달 하현	그믐달 | 그믐달 하현 | 달 | 우주 | 점점 작아지는 | 초승달
🌙	crescent moon	crescent | moon | ramadan | space	초승달	달 | 라마단 | 우주 | 초승달
🌚	new moon face	face | moon | new | space	얼굴이 있는 삭	뉴문 | 달 | 달님 | 달위에 얼굴 | 삭 | 얼굴 | 얼굴이 있는 삭 | 우주
🌛	first quarter moon face	face | first | moon | quarter | space	얼굴이 있는 초승달	달 | 달님 | 얼굴 | 얼굴이 있는 초승달 | 우주
🌜	last quarter moon face	dreams | face | last | moon | quarter	그믐달	그믐달 | 꿈 | 달 | 달님 | 반달 | 얼굴 | 얼굴이 있는 그믐달 | 얼굴이 있는 상현 반달
🌡	thermometer	thermometer | weather	온도계	날씨 | 온도 | 온도계
☀	sun	bright | rays | space | sun | sunny | weather	태양	날씨 | 더움 | 맑음 | 태양 | 해 | 화창한
🌝	full moon face	bright | face | full | moon	얼굴이 있는 보름달	달 | 달님 | 밝음 | 얼굴 | 얼굴이 있는 보름달
🌞	sun with face	beach | bright | day | face | heat | shine | sun | sunny | sunshine | weather	얼굴이 있는 해	날씨 | 낮 | 눈부신 | 밝은 | 얼굴 | 얼굴이 있는 해 | 열기 | 해 방긋 | 해님 | 햇빛
🪐	ringed planet	planet | ringed | saturn | saturnine	고리가 있는 행성	고리가 있는 행성 | 토성 | 행성
⭐	star	astronomy | medium | star | stars | white	별	별 | 천문학 | 화이트 미디엄 별 | 흰색 미디엄 별
🌟	glowing star	glittery | glow | glowing | night | shining | sparkle | star | win	반짝이는 별	눈부시는 | 반짝거리는 | 반짝반짝 | 반짝이는 별 | 반짝이다 | 반짝임 | 밤 | 별 | 빛나는 | 승리
🌠	shooting star	falling | night | shooting | space | star	별똥별	낙성 | 떨어지는 | 밤 | 별 | 별똥별 | 우주 | 유성
🌌	milky way	milky | space | way	은하수	우주 | 은하 | 은하수 | 행성
☁	cloud	cloud | weather	구름	구름 | 날씨 | 흐림
⛅	sun behind cloud	behind | cloud | cloudy | sun | weather	구름 뒤의 해	구름 | 구름 뒤의 해 | 구름에 가린 해 | 해
⛈	cloud with lightning and rain	cloud | lightning | rain | thunder | thunderstorm	번개가 치는 비구름	구름 | 뇌우 | 번개 | 번개가 치는 비구름 | 비
🌤	sun behind small cloud	behind | cloud | sun | weather	작은 구름 뒤의 태양	구름 | 날씨 | 작은 구름 뒤의 태양 | 해 | 흐림
🌥	sun behind large cloud	behind | cloud | sun | weather	큰 구름 뒤의 태양	구름 | 날씨 | 큰 구름 뒤의 태양 | 해 | 흐림
🌦	sun behind rain cloud	behind | cloud | rain | sun | weather	비구름 뒤의 태양	구름 | 날씨 | 비 | 비구름 뒤의 태양 | 해
🌧	cloud with rain	cloud | rain | weather	비구름	구름 | 날씨 | 비 | 비구름
🌨	cloud with snow	cloud | cold | snow | weather	눈구름	구름 | 날씨 | 눈 | 눈구름 | 추움
🌩	cloud with lightning	cloud | lightning | weather	번개구름	구름 | 날씨 | 번개 | 번개구름
🌪	tornado	cloud | tornado | weather | whirlwind	토네이도	구름 | 날씨 | 소용돌이 | 태풍 | 토네이도
🌫	fog	cloud | fog | weather	안개	구름 | 날씨 | 물결표시 | 안개
🌬	wind face	blow | cloud | face | wind	얼굴이 있는 바람	바람 | 바람 부는 | 얼굴 | 얼굴이 있는 바람 | 후 하고 바람 부는 얼굴
🌀	cyclone	cyclone | dizzy | hurricane | twister | typhoon | weather	태풍	날씨 | 사이클론 | 소용돌이 | 싸이클론 | 어지러운 | 태풍 | 태풍의 눈
🌈	rainbow	gay | genderqueer | glbt | glbtq | lesbian | lgbt | lgbtq | lgbtqia | nature | pride | queer | rain | rainbow | trans | transgender | weather	무지개	게이 | 날씨 | 레인보우 | 레즈비언 | 무지개 | 양성애자 | 자연 | 젠더퀴어 | 트랜스 | 트랜스젠더 | 프라이드
🌂	closed umbrella	closed | clothing | rain | umbrella	접힌 우산	비 | 우산 | 접힌 우산
☂	umbrella	clothing | rain | umbrella	우산	비 | 우산
☔	umbrella with rain drops	clothing | drop | drops | rain | umbrella | weather	빗방울이 있는 우산	강우 | 강한 비 | 날씨 | 물방울 | 비 | 빗방울이 떨어지는 우산 | 빗방울이 있는 우산 | 우산
⛱	umbrella on ground	ground | rain | sun | umbrella	땅에 꽂힌 파라솔	땅에 꽂힌 파라솔 | 비 | 우산 | 파라솔 | 해 | 해변가
